sample,nan_fraction,k,rmse,pcc
6,0.3,5,1.0665157140685302,0.9528300056652992
6,0.3,7,0.9739633727578659,0.9611089200358095
7,0.05,1,0.7915692821211108,0.9701361871552864
7,0.05,3,0.6226257042275303,0.9812934328779075
7,0.05,5,0.5963214691953101,0.9828524720353835
7,0.05,7,0.5730528696976496,0.984175904505598
7,0.1,1,0.775848388304948,0.9733199197667566
7,0.1,3,0.6393061788252876,0.981634123895399
7,0.1,5,0.594633373860456,0.984092349165182
7,0.1,7,0.5822638050348302,0.9847426337827346
7,0.2,1,1.184418188244978,0.9336321497727484
7,0.2,3,0.748486646027004,0.973139889540349
7,0.2,5,0.6684662442832395,0.9786213844036094
7,0.2,7,0.633898198825605,0.9808121794784488
7,0.3,1,1.5776087252819337,0.8911428354165196
7,0.3,3,0.9872120841405567,0.9569804937821312
7,0.3,5,0.8354155755018733,0.9695702766571818
7,0.3,7,0.7708461368427045,0.9742755497777075
8,0.05,1,0.8454945418639703,0.9682914513964667
8,0.05,3,0.6202304780111791,0.9827215390389789
8,0.05,5,0.5831825454884944,0.9846304827607826
8,0.05,7,0.554212525306083,0.986027404847727
8,0.1,1,0.823135323737338,0.9724958181796802
8,0.1,3,0.6577662258969651,0.9823443385874946
8,0.1,5,0.6214911339857843,0.9842738267703234
8,0.1,7,0.6160671258518954,0.9845352131471519
8,0.2,1,1.1598644473729256,0.9445045775045919
8,0.2,3,0.7935176537710259,0.9737806839257303
8,0.2,5,0.6736609159267645,0.9812342723117141
8,0.2,7,0.6362854913820806,0.9833034837309899
8,0.3,1,1.8912187021279314,0.8454683132394649
8,0.3,3,1.235840336997659,0.9322081495272088
8,0.3,5,1.060577400584993,0.9504948471738549
8,0.3,7,0.9733476447744126,0.9585867354437327
9,0.05,1,0.7849143127335625,0.9730824351900446
9,0.05,3,0.6125668425949164,0.983483112297745
9,0.05,5,0.5860991211687336,0.984871760271802
9,0.05,7,0.5717405148424565,0.9856025532346331
9,0.1,1,0.7809783703001146,0.973577343158474
9,0.1,3,0.6403842925012373,0.9818807201220593
9,0.1,5,0.5999278514526508,0.9840383638981276
9,0.1,7,0.5875451046154737,0.9846717390858847
9,0.2,1,0.9249738781215293,0.9619038501070866
9,0.2,3,0.7302344664245007,0.9761897244878529
9,0.2,5,0.6596379965803147,0.980621810806023
9,0.2,7,0.6345186158388234,0.9821001990947222
9,0.3,1,1.6064973131380889,0.8828247855459335
9,0.3,3,1.0680335239845609,0.9482627189194404
9,0.3,5,0.924743883283365,0.961930341827908
9,0.3,7,0.846168470966019,0.9685028533807679
